field,m,angle,distance,relerr_offset,relerr_abs,mag
phis,0,1.047198,5.623413e-05,2.219226e-16,3.191247e-13,2.049126e+03
phis,0,1.047198,1.000000e-04,1.973204e-16,7.614594e-13,1.152307e+03
phis,0,1.047198,1.778279e-04,0.000000e+00,2.356236e-13,6.479886e+02
phis,0,1.047198,3.162278e-04,0.000000e+00,2.681577e-13,3.643895e+02
phis,0,1.047198,5.623413e-04,2.774067e-16,1.090208e-13,2.049100e+02
phis,0,1.047198,1.000000e-03,1.233280e-16,1.023622e-14,1.152281e+02
phis,0,1.047198,1.778279e-03,2.193159e-16,5.943461e-14,6.479628e+01
phis,0,1.047198,3.162278e-03,0.000000e+00,3.042143e-14,3.643637e+01
phis,0,1.047198,5.623413e-03,0.000000e+00,7.109441e-15,2.048843e+01
phis,0,1.047198,1.000000e-02,3.083889e-16,5.088416e-15,1.152024e+01
phis,0,1.047198,1.778279e-02,1.371267e-16,8.227604e-16,6.477062e+00
phis,0,1.047198,3.162278e-02,0.000000e+00,2.439324e-16,3.641084e+00
phis,0,1.047198,5.623413e-02,2.170196e-16,1.302117e-15,2.046310e+00
phis,0,1.047198,1.000000e-01,1.931617e-16,0.000000e+00,1.149527e+00
phis,0,1.047198,1.778279e-01,3.441098e-16,5.161648e-16,6.452724e-01
phis,0,1.047198,3.162278e-01,0.000000e+00,1.534387e-16,3.617806e-01
phis,0,1.047198,5.623413e-01,0.000000e+00,5.483285e-16,2.024741e-01
phis,0,1.047198,1.000000e+00,2.455305e-16,1.227652e-16,1.130433e-01
phis,0,1.570796,1.000000e-12,0.000000e+00,8.889268e-05,1.000000e+11
phis,0,1.570796,1.778279e-12,1.356720e-16,4.264098e-05,5.623413e+10
phis,0,1.570796,3.162278e-12,0.000000e+00,2.580452e-05,3.162278e+10
phis,0,1.570796,5.623413e-12,2.145162e-16,1.572195e-05,1.778279e+10
phis,0,1.570796,1.000000e-11,0.000000e+00,8.274036e-08,1.000000e+10
phis,0,1.570796,1.778279e-11,1.695899e-16,5.183312e-06,5.623413e+09
phis,0,1.570796,3.162278e-11,1.507891e-16,2.281484e-06,3.162278e+09
phis,0,1.570796,5.623413e-11,1.340726e-16,7.209396e-08,1.778279e+09
phis,0,1.570796,1.000000e-10,1.192093e-16,8.274036e-08,1.000000e+09
phis,0,1.570796,1.778279e-10,4.239749e-16,1.887442e-07,5.623413e+08
phis,0,1.570796,3.162278e-10,3.769729e-16,1.749783e-07,3.162278e+08
phis,0,1.570796,5.623413e-10,0.000000e+00,7.209396e-08,1.778279e+08
phis,0,1.570796,1.000000e-09,1.490116e-16,8.274036e-08,1.000000e+08
